name,representative,accounting_officer,address,established
一般財団法人国民政治協会（自由民主党本部）,大橋　光夫,穴山　洋一,東京都千代田区平河町２－６－１,S51.1.7
国民改革懇話会（国民民主党）,古川　元久,平田 大祐,東京都千代田区永田町２－１７－１７,R2.11.17
