name,representative,accounting_officer,address,established
公明党,山口　那津男,石井　啓一,東京都新宿区南元町１７,H6.12.5
国民民主党,玉木　雄一郎,濱口 誠,東京都千代田区永田町２－１７－１７,R2.9.14
参政党,神谷　宗幣,海老 克昌,東京都港区赤坂３－４－３,R４.７.22
社会民主党,福島　瑞穂,中島　修,東京都中央区湊３－１８－１７,S51.2.27
自由民主党本部,岸田　文雄,茂木　敏充,東京都千代田区永田町１－１１－２３,S51.1.6
政治家女子４８党,大津 綾香,大津 綾香,千葉県柏市大室１７９９-１９,R元.７.30
日本維新の会,馬場 伸幸,柳ヶ瀬　裕文,大阪府大阪市中央区島之内１－１７－１６,H27.11.2
日本共産党中央委員会,志位　和夫,岩井　鐵也,東京都渋谷区千駄ヶ谷４－２６－７,S51.2.23
立憲民主党,泉　健太,落合 貴之,東京都千代田区永田町１－１１－１,R2.9.15
れいわ新選組,山本　太郎,高井 崇志,東京都千代田区麹町２－５－２０,R元.7.25
