name,representative,accounting_officer,address,established
自由民主党群馬県衆議院比例区第一支部,上野　宏史,近藤　真弘,群馬県前橋市千代田町４－１２－３,H30.1.11
自由民主党群馬県衆議院比例区第三支部,尾身　朝子,伊藤　元万,群馬県前橋市総社町総社３１３７－１,R3.10.25
自由民主党新潟県衆議院比例区第一支部,鷲尾　英一郎,酒井　啓吉,新潟県長岡市蓮潟５－１－７２,R3.12.23
自由民主党愛知県衆議院比例区第一支部,山本　左近,森　みのり,愛知県豊橋市八町通１－１４－１,R3.12.22
自由民主党大阪府衆議院比例区第一支部,柳本　顕,熊谷　志保,大阪府大阪市西成区松１－１－６,R4.2.22
自由民主党奈良県衆議院比例区第一支部,奥野　信亮,木口　善行,奈良県御所市１１３－３,H29.10.2
自由民主党島根県衆議院比例区第一支部,髙階　恵美子,佐々木　由美,島根県松江市内中原町１４０－２,H22.3.26
自由民主党広島県衆議院比例区第一支部,畦元　将吾,束村　光彦,広島県広島市中区舟入本町１３－４,R1.8.2
自由民主党広島県衆議院比例区第二支部,石橋　林太郎,花本　浩樹,広島県広島市安佐南区大町東２－１５－７,R3.5.14
自由民主党山口県衆議院比例区第二支部,杉田　水脈,福井　慎二,山口県山口市赤妻町３－１,H30.7.10
自由民主党高知県衆議院比例区第二支部,山本　有二,前田　真二郎,高知県高知市桟橋通３－３１－１,R3.10.25
自由民主党佐賀県衆議院比例区第一支部,今村　雅弘,田雑　正信,佐賀県佐賀市末広２－１３－３６,H26.12.1
自由民主党鹿児島県衆議院比例区第一支部,保岡　広武,押井　啓一,鹿児島県鹿児島市小松原２－１４－１５,R3.10.14
自由民主党鳥取県参議院選挙区第一支部,舞立　昇治,堀　博之,鳥取県米子市東町１７７,H30.12.6
自由民主党島根県参議院選挙区第三支部,青木　一彦,佐々木　弘行,島根県松江市内中原町１４０－２,H27.11.4
自由民主党徳島県参議院選挙区第二支部,中西　祐介,喜多村　旬,徳島県徳島市問屋町３１,H27.11.5
自由民主党高知県参議院選挙区第一支部,高野　光二郎,向井　和至,高知県高知市本町５－６－３５,H30.12.25
自由民主党北海道参議院比例区第八十三支部,石﨑　聖子,原　武彦,北海道札幌市中央区北一条西５－２,R4.7.7
自由民主党宮城県参議院比例区第十七支部,和田　政宗,千葉　富士男,宮城県仙台市青葉区上杉１－５－１３,H29.10.23
自由民主党群馬県参議院比例区第八十二支部,羽生田　俊,安部　和之,群馬県前橋市千代田町２－１０－１３,H25.3.21
自由民主党東京都参議院比例区第十四支部,宮崎　雅夫,古川　和夫,東京都港区新橋５－３３－９,H30.9.7
自由民主党東京都参議院比例区第二十支部,藤木　眞也,大西　茂志,東京都千代田区神田錦町１－２３,H27.12.7
自由民主党東京都参議院比例区第二十二支部,山田　宏,大島　康之,東京都千代田区平河町２－１６－５,H27.10.14
自由民主党東京都参議院比例区第二十五支部,片山　さつき,九十九　正博,東京都文京区白山１－３７－７,H22.4.16
自由民主党東京都参議院比例区第三十支部,有村　治子,髙橋　弘光,東京都千代田区平河町１－９－８,H13.3.28
自由民主党東京都参議院比例区第三十三支部,山東　昭子,阿部　大輔,東京都千代田区神田神保町３－２－１,H13.4.23
自由民主党東京都参議院比例区第三十四支部,山田　俊男,今野　正弘,東京都千代田区神田錦町１－２３,H18.7.3
自由民主党東京都参議院比例区第三十七支部,尾立　源幸,岩崎　彰憲,東京都千代田区一番町１０－１０,R4.3.2
自由民主党東京都参議院比例区第三十八支部,進藤　金日子,馬籠　剛一,東京都港区新橋５－３３－９,H27.10.14
自由民主党東京都参議院比例区第四十支部,赤松　健,秦　亜希子,東京都港区南青山６－１３－２１,R4.2.18
自由民主党東京都参議院比例区第五十支部,山田　太郎,荒井　理沙,東京都大田区千鳥１－１５－１,H31.4.25
自由民主党東京都参議院比例区第五十二支部,長谷川　英晴,藤澤　信行,東京都港区六本木１－７－２７,R3.9.17
自由民主党東京都参議院比例区第五十五支部,佐藤　信秋,安　和博,東京都千代田区飯田橋１－４－２,H18.8.15
自由民主党東京都参議院比例区第六十支部,土肥　理緒,西澤　早苗,東京都千代田区平河町１－９－８,R4.4.8
自由民主党東京都参議院比例区第六十二支部,佐藤　正久,佐川　嘉洋,東京都新宿区市谷本村町３－２０,H19.1.29
自由民主党東京都参議院比例区第六十六支部,柘植　芳文,増田　隆一,東京都港区六本木１－７－２７,H25.4.4
自由民主党東京都参議院比例区第六十七支部,阿達　雅志,林　英子,東京都新宿区下宮比町２－２８,H27.3.12
自由民主党東京都参議院比例区第七十八支部,衛藤　晟一,北村　賢一,東京都千代田区麹町１－３－５,H19.4.10
自由民主党東京都参議院比例区第八十支部,足立　敏之,尾林　達成,東京都千代田区飯田橋１－４－１,H27.8.31
自由民主党東京都参議院比例区第八十四支部,小川　惠里子,福元　亮次,東京都千代田区麹町１－８－６,H16.3.25
自由民主党東京都参議院比例区第八十七支部,自見 英子,賀来　睦三郎,東京都千代田区永田町２－１７－５,H27.8.21
自由民主党東京都参議院比例区第九十六支部,今井　絵理子,神田　信浩,東京都港区赤坂４－３－１６,H28.2.29
自由民主党神奈川県参議院比例区第五十六支部,井上　義行,岩崎　達哉,神奈川県小田原市栄町１－１４－４８,R4.4.22
自由民主党山梨県参議院比例区第二十四支部,赤池　誠章,河井　淳,山梨県甲府市中央１－１－１１,H24.10.5
自由民主党愛知県参議院比例区第十八支部,神谷　政幸,寺部　重人,愛知県豊橋市八通町９７,R3.12.2
自由民主党大阪府参議院比例区第十五支部,青山　繁晴,入間川　和美,大阪府大阪市北区天満１－１９－６,H28.7.4
自由民主党兵庫県参議院比例区第四十六支部,石田　昌宏,五反分　正彦,兵庫県神戸市中央区加納町１－１－７,H25.1.11
自由民主党鳥取県参議院比例区第七十一支部,藤井　一博,前田　三郎,鳥取県倉吉市山根５７２－４,R4.3.23
自由民主党島根県参議院比例区第五十一支部,三浦　靖,小林　一巳,島根県松江市内中原町１４０－２,H29.12.11
自由民主党広島県参議院比例区第九十九支部,越智　俊之,三奈戸　宣宏,広島県広島市中区大手町３－３－２７,R3.10.1
自由民主党徳島県参議院比例区第九十八支部,三木　亨,池上　敬治,徳島県徳島市問屋町２９,H30.12.27
自由民主党高知県参議院比例区第五十九支部,梶原　大介,吉澤　昌樹,高知県高知市升形２－１５,R4.4.18
自由民主党高知県参議院比例区第八十一支部,中西　哲,井上　卓,高知県高知市升形１－２１,H27.12.3
自由民主党熊本県参議院比例区第十六支部,本田　顕子,大谷　賢二,熊本県熊本市西区花園７－１２－１６,H30.8.31
自由民主党沖縄県参議院比例区第四十一支部,比嘉　奈津美,岡田　英,沖縄県沖縄市中央１－１８－６,R3.12.22
日本維新の会参議院比例区第３支部,山口　和之,前野　登,福島県郡山市富久山町八山田字前林１０－４,H31.2.8
日本維新の会参議院比例区第４支部,石井　章,渡部　純一,茨城県取手市片町２９６,H28.2.8
日本維新の会参議院比例区第６支部,串田　誠一,板倉　則子,神奈川県横浜市中区相生町２－２７,R3.12.24
日本維新の会参議院比例区第９支部,梅村　聡,梅村　聡,大阪府池田市菅原町２－１７,H31.3.6
日本維新の会参議院比例区第１１支部,柴田　巧,柴田　正人,富山県小矢部市清水２９８１－２,H31.4.5
日本維新の会参議院比例区第１４支部,前田　明美,前田　真治,熊本県熊本市北区植木町投刀塚１０１,R4.3.24
日本維新の会参議院比例区第１５支部,森口　あゆみ,宮本　博昭,三重県伊賀市緑ケ丘南町４０３６,R1.5.30
日本維新の会参議院比例区第１６支部,後藤　斎,高見沢　るり子,山梨県甲府市後屋町３４４－２,R4.3.10
日本維新の会参議院比例区第１７支部,柳ヶ瀬　裕文,柳ヶ瀬　恭子,東京都大田区千鳥３－１１－１９,R1.6.14
日本維新の会参議院比例区第２６支部,石田　隆史,石田　隆史,大阪府池田市建石町９－１３,R4.4.13
日本維新の会参議院比例区第３０支部,金子　道仁,石井　洋二,兵庫県川辺郡猪名川町若葉２－４１,R4.4.22
日本維新の会参議院比例区第３２支部,飯田　哲史,安達 俊治,大阪府大阪市城東区蒲生４－１５－１３,R4.4.13
日本維新の会参議院比例区第３４支部,青島　健太,剱持　益美,埼玉県草加市谷塚町５９２,R4.5.11
日本維新の会参議院比例区第３８支部,石井　苗子,橋本　範子,東京都文京区湯島１－１０－５,H28.6.20
日本維新の会参議院比例区第４４支部,上野　蛍,青木　彰彦,富山県富山市堤町通り２－７－１３,R4.5.11
日本維新の会参議院比例区第４８支部,下村　清,大友　翔,東京都板橋区大山西町４４－８,R4.5.13
日本維新の会参議院比例区第５２支部,猪瀬　直樹,鈴木　重雄,東京都港区南青山２－２－１５,R4.6.3
日本維新の会参議院比例区第５３支部,室井　邦彦,藤生　賢哉,兵庫県尼崎市東難波町５－７－１７,H27.12.17
日本維新の会国会議員団,馬場　伸幸,佐藤　暁,東京都千代田区永田町２－１７－３,H28.1.12
立憲民主党参議院比例第３総支部,川田　龍平,石井　惠子,東京都港区南青山２－２－１５,R2.9.29
立憲民主党参議院比例第４総支部,森屋　隆,大澤　祥史,東京都港区高輪４－３－５,R2.10.2
立憲民主党参議院比例第５総支部,水岡　俊一,吉田　順子,東京都千代田区一ツ橋２－６－２,R2.9.25
立憲民主党参議院比例第６総支部,吉田　忠智,佐藤　俊生,大分県大分市高砂町４－２０,R3.1.14
立憲民主党参議院比例第７総支部,石橋　通宏,太田　信一,東京都千代田区神田駿河台３－６,R2.9.30
立憲民主党参議院比例第８総支部,青木　愛,小原　貞裕,東京都北区岸町１－２－９,R2.9.25
立憲民主党参議院比例第９総支部,吉川　沙織,松本　雄三,東京都千代田区神田駿河台３－６,R2.9.25
立憲民主党参議院比例第１２総支部,白　眞勲,土屋　紀一,東京都千代田区永田町２－１７－５,R2.9.25
立憲民主党参議院比例第１３総支部,岸　真紀子,伊藤　和寿,東京都千代田区六番町１,R2.9.28
立憲民主党参議院比例第１４総支部,小澤　雅仁,山本　晴美,東京都渋谷区千駄ヶ谷１－２０－６,R2.9.30
立憲民主党参議院比例第１５総支部,鬼木　誠,石川　和正,東京都千代田区六番町１,R3.4.12
立憲民主党参議院比例第１６総支部,古賀　千景,前川　浩司,東京都千代田区一ツ橋２－６－２,R3.4.9
立憲民主党参議院比例第１７総支部,石川　大我,榎本　順一,東京都豊島区西巣鴨３－２１－１０,R2.9.25
立憲民主党参議院比例第１８総支部,柴　愼一,宮越　信利,東京都渋谷区千駄ヶ谷１－２０－６,R3.5.6
立憲民主党参議院比例第２０総支部,辻元　清美,藤原　靖彦,大阪府高槻市城北町１－５－２３,R4.2.17
立憲民主党参議院比例第２１総支部,村田　享子,井出　智則,東京都中央区新川１－２３－４,R4.3.10
立憲民主党参議院比例第２２総支部,栗下　善行,宮崎　成子,東京都千代田区岩本町３－６－７,R4.5.25
れいわ新選組参議院比例区第３総支部,大島　九州男,冨永　正博,福岡県直方市感田１４６６－３,R4.4.5
れいわ新選組参議院第一総支部,舩後　靖彦,岡田　哲扶,東京都千代田区麹町２－５－２０,R4.1.13
れいわ新選組参議院第二総支部,木村　英子,入野田　智也,東京都千代田区麹町２－５－２０,R4.1.13
れいわ新選組参議院第六総支部,天畠　大輔,黒田　宗矢,東京都千代田区麹町２－５－２０,R4.8.15
れいわ新選組参議院第七総支部,小野　正芳,小野　正芳,東京都千代田区麹町２－５－２０,R4.8.8
